symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict,is_new_signal_3d
NWSA,Communication Services,News Corp (Class A),2026-09-01,30.63,5.4,14.29,26.47,18.16,1.0,3949015,4756810,4593556,20.04,7.37,16.61,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,10,2,2,6.0,51.24,5.46,False,True,28.13,8.7,0.922,False,31.66,31.66,-3.25,-0.94,7.14,14.0,6.0,3851457.0,4176650.0,2.333,3413900.0,3645050.0,3494286.0,0.977,100.0,63.42,多頭,頭頭高·底底高,空轉多預警,1,1,11,3.0,2,,,False
NWS,Communication Services,News Corp (Class B),2026-09-01,34.23,3.32,11.57,27.53,17.49,1.0,1160180,1487010,1484138,4.75,0.39,22.21,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,13,3,1,7.6,51.24,5.46,False,True,31.89,8.29,0.982,False,35.76,35.76,-4.28,-2.62,4.61,15.0,5.0,1154873.0,1176100.0,3.0,1392500.0,1121980.0,1129440.0,1.233,100.0,57.76,多頭,頭頭高·底底高,空轉多預警,2,1,2,1.6,1,,,False
T,Communication Services,AT&T,2026-09-01,26.0,12.75,7.32,-3.04,3.5,0.667,33971025,60847753,50355796,-56.13,52.64,13.52,P+V-,P+V+,P-V+,➡️ 中性,3,4,13,5.3,10.49,3.42,False,True,23.26,5.74,0.801,False,28.75,29.79,-9.57,0.89,11.21,15.0,5.0,31987000.0,39923100.0,3.0,32807800.0,28601350.0,30134720.0,1.089,100.0,68.0,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,8,1,4,4.4,3,剛爆發,,False
GPC,Consumer Discretionary,Genuine Parts Company,2026-09-01,134.84,2.68,40.15,17.71,19.56,1.0,1118695,1661767,1762617,-37.42,-10.82,44.22,P+V-,P+V-,P+V+,⚠️ 頂部背離,9,1,7,6.2,3.47,1.26,False,True,127.63,7.72,0.943,False,148.58,151.57,-9.24,-2.25,1.73,10.0,10.0,1085970.0,1151420.0,1.0,932400.0,1172010.0,1096780.0,0.85,81.64,55.34,多頭,頭頭高·底底高,,5,12,18,10.4,7,吃老本,,False
EXPE,Consumer Discretionary,Expedia Group,2026-09-01,304.23,-4.69,33.41,40.4,27.38,0.667,1519300,1569364,1772660,-2.7,-20.58,-17.69,P-V-,P+V-,P+V-,➡️ 中性,23,3,1,12.6,9.65,42.34,False,True,291.32,11.92,0.906,False,341.51,342.0,-10.92,-9.85,-2.37,11.0,9.0,1451754.0,1601855.0,1.222,2346500.0,1357590.0,1376020.0,1.705,78.83,46.35,多頭,頭頭高·底底高,,2,15,1,7.0,3,吃老本,,False
ABNB,Consumer Discretionary,Airbnb,2026-09-01,182.54,19.71,32.4,33.27,29.67,1.0,5846870,4343120,4079247,69.28,13.83,-15.5,P+V+,P+V+,P+V-,🚀 健康多頭,1,4,3,2.3,9.48,-14.13,False,True,160.46,6.8,1.289,False,193.45,193.45,-5.64,-4.18,21.76,11.0,9.0,6503390.0,5044455.0,1.222,4305900.0,4970760.0,4859340.0,0.886,100.0,58.44,擴散,頭頭高·底底低,,1,1,16,4.0,1,,,False
TGT,Consumer Staples,Target Corporation,2026-09-01,163.75,11.72,33.38,45.1,33.83,1.0,4974890,4462532,5160819,33.17,-23.84,-32.26,P+V+,P+V-,P+V-,➡️ 中性,4,1,1,2.5,75.83,17.31,False,True,144.76,15.02,1.094,False,170.75,170.75,-4.1,0.17,11.41,12.0,8.0,5151283.0,4710300.0,1.5,3982800.0,5671260.0,5366020.0,0.742,98.55,63.07,多頭,頭頭高·底底高,,1,4,21,6.2,3,,,False
SJM,Consumer Staples,J.M. Smucker Company (The),2026-09-01,131.42,11.28,31.85,15.62,18.59,1.0,1270910,1541578,1843601,-15.69,-28.15,0.69,P+V-,P+V-,P+V+,⚠️ 頂部背離,5,2,3,3.7,46.18,5.01,False,True,117.66,12.9,1.095,False,135.89,135.89,-3.29,4.76,11.31,14.0,6.0,1304935.0,1191516.0,2.333,1720100.0,1593290.0,1410960.0,1.219,100.0,69.57,多頭,頭頭高·底底高,多頭確認,2,1,6,2.4,1,,,False
GIS,Consumer Staples,General Mills,2026-09-01,41.09,14.36,24.3,-5.39,6.97,0.667,8223275,9881890,9673387,-13.89,4.41,41.37,P+V-,P+V+,P-V+,➡️ 中性,2,3,17,5.3,19.21,-12.14,False,True,37.38,9.61,0.924,False,48.32,51.33,-14.97,3.29,13.54,14.0,6.0,8026171.0,8683183.0,2.333,9608500.0,8350250.0,8176226.0,1.175,100.0,63.95,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,7,1,8,4.8,2,剛爆發,,False
MPC,Energy,Marathon Petroleum,2026-09-01,383.0,28.98,48.48,91.73,65.23,1.0,2585280,2376420,2497010,24.11,-9.21,20.4,P+V+,P+V-,P+V+,➡️ 中性,1,1,1,1.0,27.08,120.63,False,True,313.02,9.69,1.072,False,383.01,383.01,-0.0,7.92,22.85,14.0,6.0,2638492.0,2461116.0,2.333,2376700.0,2493230.0,2493873.0,0.953,100.0,76.46,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,1,1,12,3.2,3,,,False
