stock_id,symbol,stock_name,sector,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vp_ratio_stock,vp_score_stock,rsi14,above_50ma,ma50,amp_10d_pct,vcp,high_52w,pct_from_high,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,trend_state,trend_pattern,trend_signal,explosive_verdict,vol_today,vol_10d_avg,trade_value_20d_est_NTD_M,inst_foreign_net_20d_shares,inst_trust_net_20d_shares,inst_dealer_net_20d_shares,inst_total_net_20d_shares,inst_total_net_20d_est_NTD_M,point_rank_in_sector,vp_score_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
2330,2330,台積電,電子工業,2026-09-03,2390.0,0.84,0.48,21.73,11.2,1.0,-0.83,1.06,13,7,16387925,18606820,1.857,0.881,93.57,49.88,False,2390.8,3.95,False,2535.0,-5.72,P+V-,P+V-,P+V+,⚠️ 頂部背離,收斂,頭頭低·底底高,空轉多預警,,12602565,16359768,822956.1,7578596.0,-3683498.0,2035671.0,5930769.0,14174.5,25.0,11.0,18.0,16.0,剛爆發
2454,2454,聯發科,電子工業,2026-09-03,4340.0,11.28,-1.45,129.79,67.35,0.667,12.29,10.71,8,12,6417979,8164975,0.667,0.786,85.1,62.37,True,3877.95,22.78,False,4940.48,-12.15,P+V-,P-V-,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,空轉多預警,🔥 追高風險,8318790,6927584,601105.5,9767995.0,-6020162.0,-568879.0,3178954.0,13796.7,5.0,19.0,12.0,8.0,吃老本
2308,2308,台達電,電子零組件業,2026-09-03,1760.0,6.67,-27.04,24.15,6.98,0.667,-0.56,4.76,9,9,9084694,10245508,1.0,0.887,83.15,47.91,False,1798.2,12.12,False,2571.55,-31.56,P+V-,P-V-,P+V-,⚠️ 量能背離,多頭,頭頭高·底底高,空轉多預警,,9748529,8608226,358220.3,-9522753.0,-3763721.0,713205.0,-12573269.0,-22129.0,8.0,6.0,7.0,8.0,
2317,2317,鴻海,電子工業,2026-09-03,247.5,-4.81,-13.01,6.64,-1.14,0.333,-1.79,-6.43,7,13,34504088,37990896,0.538,0.908,69.4,47.15,True,247.25,7.44,False,304.92,-18.83,P-V-,P-V-,P+V+,😴 弱勢縮量,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,28712515,29694332,187351.0,-9320940.0,-4994847.0,455084.0,-13860703.0,-3430.5,31.0,33.0,32.0,34.0,
3711,3711,日月光投控,電子工業,2026-09-03,589.0,0.68,0.23,60.43,30.44,1.0,-2.64,-1.01,8,11,17234459,17861290,0.727,0.965,76.13,47.02,False,618.61,10.91,False,722.4,-18.47,P+V-,P+V-,P+V+,⚠️ 頂部背離,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警,,11219856,15435118,208893.5,20798715.0,-31187794.0,1834815.0,-8554264.0,-5038.5,10.0,26.0,18.0,16.0,吃老本
2881,2881,富邦金,金融保險,2026-09-03,147.0,15.75,33.32,63.43,43.98,1.0,3.89,16.67,11,8,19848653,16782353,1.375,1.183,100.0,69.38,True,129.17,14.88,False,148.5,-1.01,P+V-,P+V-,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,多頭確認,,18425098,24566589,52495.0,43635758.0,6539309.0,-224785.0,49950282.0,7342.7,3.0,1.0,2.0,3.0,
2383,2383,台光電,電子零組件業,2026-09-03,5290.0,1.42,10.02,123.28,64.5,1.0,-3.38,0.17,10,10,1960543,1889004,1.0,1.038,81.91,46.42,True,5286.36,13.68,False,6440.59,-17.86,P+V-,P+V-,P+V-,⚠️ 量能衰竭,多頭,頭頭高·底底高,空轉多預警,🔥 追高風險,1507191,1860934,218418.9,2336488.0,-1555059.0,348270.0,1129699.0,5976.1,2.0,7.0,4.5,5.0,
1303,1303,南亞,塑膠工業,2026-09-03,221.0,17.55,100.06,148.12,103.46,1.0,-2.86,23.81,9,10,115391205,102382143,0.9,1.127,96.37,57.63,True,189.92,35.33,False,250.0,-11.6,P+V+,P+V+,P+V-,🚀 健康多頭,收斂,頭頭低·底底高,多轉空預警 / 多頭確認,🔥 追高風險,102305686,114745629,449264.8,-45257402.0,38916005.0,2262494.0,-4078903.0,-901.4,1.0,3.0,2.0,2.0,
2882,2882,國泰金,金融保險,2026-09-03,112.5,13.18,23.43,49.57,33.94,1.0,9.76,15.38,11,8,24254693,18678102,1.375,1.299,100.0,69.54,True,99.12,16.76,False,115.0,-2.17,P+V+,P+V-,P+V+,➡️ 中性,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,,35456458,26340313,45110.5,25691731.0,14854949.0,-40702.0,40505978.0,4556.9,4.0,1.0,2.5,4.0,
2408,2408,南亞科,電子工業,2026-09-03,477.5,4.49,21.27,68.08,40.48,1.0,-11.74,4.03,9,10,88747796,86812601,0.9,1.022,79.11,47.56,True,454.24,17.62,False,569.0,-16.08,P+V+,P+V-,P+V-,➡️ 中性,多頭,頭頭高·底底高,空轉多預警 / 空頭確認,,117530881,82228157,876079.1,52912891.0,-960034.0,-2623325.0,49329532.0,23554.9,8.0,21.0,14.5,11.0,吃老本
2303,2303,聯電,電子工業,2026-09-03,125.0,7.76,1.71,97.12,50.93,1.0,5.49,2.88,8,9,169268855,136332766,0.889,1.242,88.98,49.48,False,134.41,18.01,False,182.38,-31.46,P+V-,P+V+,P+V+,⚠️ 頂部背離,擴散,頭頭高·底底低,,,138008048,166545153,353200.8,83542435.0,-85616762.0,22270654.0,20196327.0,2524.5,7.0,16.0,11.5,6.0,吃老本
3037,3037,欣興,電子零組件業,2026-09-03,923.0,-3.35,-4.75,92.28,44.12,0.333,-21.78,-5.14,10,8,20738564,28681670,1.25,0.723,69.61,41.5,False,951.43,30.18,False,1230.0,-24.96,P-V-,P-V+,P+V-,➡️ 中性,擴散,頭頭高·底底低,,,31790987,26933708,474425.0,68988072.0,-11688823.0,1710373.0,59009622.0,54465.9,5.0,8.0,6.5,6.0,
2382,2382,廣達,電腦及週邊設備業,2026-09-03,335.0,12.42,-13.54,16.05,7.74,0.667,0.45,10.93,12,8,17530338,12695700,1.5,1.381,100.0,54.87,True,331.87,6.92,False,420.07,-20.25,P+V-,P-V-,P+V+,⚠️ 頂部背離,空頭,頭頭低·底底低,多轉空預警,,11610832,10212146,101940.2,39644718.0,8276469.0,-51553.0,47869634.0,16036.3,10.0,1.0,5.5,6.0,剛爆發
2891,2891,中信金,金融保險,2026-09-03,67.5,2.9,2.95,30.12,16.52,1.0,5.8,4.49,12,8,30113547,31444948,1.5,0.958,94.27,60.73,True,65.36,7.68,False,70.97,-4.89,P+V-,P+V-,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,多頭確認,,36954260,31077215,40118.0,-8693667.0,18614024.0,-4926345.0,4994012.0,337.1,13.0,13.0,13.0,14.0,
3017,3017,奇鋐,電腦及週邊設備業,2026-09-03,3300.0,19.19,22.49,88.08,54.46,1.0,-1.2,12.91,9,11,5062767,3065452,0.818,1.652,98.44,63.12,True,2662.62,24.55,False,3525.0,-6.38,P+V-,P+V-,P+V-,⚠️ 量能衰竭,多頭,頭頭高·底底高,,,4221921,3581574,247375.5,4475779.0,3560161.0,146546.0,8182486.0,27002.2,4.0,4.0,4.0,3.0,
2059,2059,川湖,電子零組件業,2026-09-03,13450.0,21.49,152.29,294.66,190.78,1.0,-6.21,33.64,9,11,536809,499080,0.818,1.076,98.8,61.29,True,10194.49,11.09,False,15031.98,-10.52,P+V-,P+V-,P+V-,⚠️ 量能衰竭,多頭,頭頭高·底底高,,🔥 追高風險,600742,514422,139919.3,244668.0,250992.0,80202.0,575862.0,7745.3,1.0,3.0,2.0,1.0,
