sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,pct_30d,n_30d,pct_90d,n_90d,pct_365d,n_365d,breadth_pct,breadth_up,breadth_total,breadth_source_date,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc,health_key,health_emoji,health_zh,health_desc
XLE,能源,Energy,2026-08-25,62.06,59.55,55.89,55.16,4.21,11.05,12.51,10.07,1.0,24494030,27402300,25360626,1.081,-2.54,7.8,12,8,25261025,27718250,0.911,1.5,92.11,3,2,3,3,2,2,2.7,1,2.4,1,,60.0,5,66.7,6,71.4,7,85.7,18,21,2026-08-17,10.45,-0.38,weakening,減弱,高位但動能見頂,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLK,資訊科技,Information Technology,2026-08-25,181.74,175.35,190.79,138.42,3.64,-4.74,31.29,15.37,0.667,5893850,5363500,6121540,0.876,-2.09,6.22,9,11,8033777,7361436,1.091,0.818,84.27,4,10,1,1,3,6,5.2,4,3.4,2,,40.0,5,33.3,6,42.9,7,67.1,49,73,2026-08-17,16.23,-0.86,weakening,減弱,高位但動能見頂,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLF,金融,Financials,2026-08-25,58.31,56.94,51.4,50.99,2.41,13.44,14.36,11.14,1.0,28963960,23669700,27886926,0.849,0.81,1.23,11,9,27776036,32224388,0.862,1.222,84.48,5,1,2,2,4,5,3.2,3,3.6,3,,80.0,5,83.3,6,85.7,7,63.2,48,76,2026-08-17,8.07,3.07,leading,領先,資金持續流入、動能未退,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLY,非必需消費,Consumer Discretionary,2026-08-25,117.95,116.09,120.63,116.39,1.6,-2.22,1.34,0.51,0.667,5308100,4156100,5157220,0.806,1.37,4.86,10,10,7624020,5042650,1.512,1.0,94.92,7,9,5,7,5,1,7.2,8,4.2,4,剛爆發,60.0,5,66.7,6,57.1,7,72.3,34,47,2026-08-17,0.16,0.35,improving,改善,落後股翻轉候選,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLB,材料,Materials,2026-08-25,53.58,50.43,50.96,52.98,6.25,5.14,1.14,3.42,1.0,9889580,8182800,10427893,0.785,3.48,2.37,10,9,12302880,10776311,1.142,1.111,89.46,1,3,7,5,7,4,2.8,2,5.0,5,,100.0,5,83.3,6,71.4,7,56.0,14,25,2026-08-17,0.96,2.46,leading,領先,資金持續流入、動能未退,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLI,工業,Industrials,2026-08-25,178.4,179.84,172.71,176.21,-0.8,3.3,1.24,1.25,0.667,5468200,6564300,5356386,1.226,-2.82,-2.24,9,11,6451366,5970354,1.081,0.818,78.71,9,6,6,6,1,9,7.5,9,6.2,6,,0.0,5,0.0,6,0.0,7,43.2,35,81,2026-08-17,4.7,-3.45,lagging,落後,資金持續流出,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLC,通訊服務,Communication Services,2026-08-25,113.18,108.24,115.39,117.37,4.56,-1.92,-3.57,-1.12,0.333,4060590,2701500,4072913,0.663,2.44,3.2,12,8,4450025,5396537,0.825,1.5,89.83,2,8,9,9,9,3,5.2,4,6.6,7,剛爆發,80.0,5,83.3,6,71.4,7,79.2,19,24,2026-08-17,-3.09,1.97,improving,改善,落後股翻轉候選,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLRE,房地產,Real Estate,2026-08-25,45.36,45.07,43.61,43.17,0.64,4.02,5.08,3.7,1.0,4989410,3148800,5039246,0.625,1.64,-1.41,10,9,4861280,6203344,0.784,1.111,80.19,8,5,4,4,10,8,6.3,7,6.8,8,,20.0,5,16.7,6,28.6,7,26.7,8,30,2026-08-17,4.62,-0.92,weakening,減弱,高位但動能見頂,neutral,➡️,中性,無明顯訊號
XLP,必需消費,Consumer Staples,2026-08-25,86.52,85.05,82.34,88.89,1.73,5.08,-2.67,0.37,0.667,9500900,7022700,8732686,0.804,1.1,-0.62,10,10,9979010,9989780,0.999,1.0,82.55,6,4,8,8,6,7,5.8,6,7.2,9,,75.0,4,60.0,5,66.7,6,64.7,22,34,2026-08-17,0.28,0.09,improving,改善,落後股翻轉候選,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLU,公用事業,Utilities,2026-08-25,43.31,44.35,44.14,47.1,-2.34,-1.88,-8.04,-5.08,0.0,17528400,13430200,19479280,0.689,-1.61,-4.86,8,11,18591525,22555072,0.824,0.727,71.78,10,7,10,10,8,10,9.1,10,9.6,10,,0.0,5,0.0,6,0.0,7,6.5,2,31,2026-08-17,-1.22,-3.86,lagging,落後,資金持續流出,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
