chain,chain_state,upstream_count,upstream_confirmed,upstream_confirmed_pct,upstream_states
PCB / HDI / IC Substrate,🚀 Confirmed,1,1,100.0,"{""CCL / High-Speed Materials"": ""🚀 Confirmed""}"
Advanced Packaging,🚀 Confirmed,2,1,50.0,"{""Semiconductor Equipment & Materials"": ""❄️ Weak"", ""PCB / HDI / IC Substrate"": ""🚀 Confirmed""}"
AI / HPC Semiconductor,🔥 Overheated,2,1,50.0,"{""Semiconductor Equipment & Materials"": ""❄️ Weak"", ""Advanced Packaging"": ""🚀 Confirmed""}"
Memory / HBM,🚀 Confirmed,2,1,50.0,"{""Semiconductor Equipment & Materials"": ""❄️ Weak"", ""Advanced Packaging"": ""🚀 Confirmed""}"
Cloud / Data Center / Cybersecurity,❄️ Weak,2,1,50.0,"{""AI Server / ODM"": ""🚀 Confirmed"", ""Optical Communication / AI Networking"": ""❄️ Weak""}"
Smart Grid / Transformer,💰 Capital Leading,2,1,50.0,"{""Passive Components"": ""⚠️ Price Leading"", ""Steel"": ""💰 Capital Leading""}"
AI Server / ODM,🚀 Confirmed,9,4,44.4,"{""AI / HPC Semiconductor"": ""🔥 Overheated"", ""Memory / HBM"": ""🚀 Confirmed"", ""Advanced Packaging"": ""🚀 Confirmed"", ""PCB / HDI / IC Substrate"": ""🚀 Confirmed"", ""CCL / High-Speed Materials"": ""🚀 Confirmed"", ""Thermal / Liquid Cooling"": ""🔥 Overheated"", ""Data Center Power / PSU"": ""❄️ Weak"", ""Optical Communication / AI Networking"": ""❄️ Weak"", ""Passive Components"": ""⚠️ Price Leading""}"
EV / Auto Electronics,❄️ Weak,3,0,0.0,"{""Energy Storage / Battery"": ""⚠️ Price Leading"", ""AI / HPC Semiconductor"": ""🔥 Overheated"", ""Passive Components"": ""⚠️ Price Leading""}"
Display & Optical,🚀 Confirmed,1,0,0.0,"{""Semiconductor Equipment & Materials"": ""❄️ Weak""}"
Data Center Power / PSU,❄️ Weak,1,0,0.0,"{""Passive Components"": ""⚠️ Price Leading""}"
Robotics / Automation,💰 Capital Leading,2,0,0.0,"{""AI / HPC Semiconductor"": ""🔥 Overheated"", ""Semiconductor Equipment & Materials"": ""❄️ Weak""}"
